dt,AverageTemperature,City,Country,Latitude,Longitude
1852-11-01,27.091,Parnaíba,Brazil,2.41S,40.98W
1852-12-01,28.104000000000006,Parnaíba,Brazil,2.41S,40.98W
1853-01-01,27.05,Parnaíba,Brazil,2.41S,40.98W
1853-02-01,26.052,Parnaíba,Brazil,2.41S,40.98W
1853-03-01,26.206,Parnaíba,Brazil,2.41S,40.98W
1853-04-01,26.536,Parnaíba,Brazil,2.41S,40.98W
1853-05-01,26.908,Parnaíba,Brazil,2.41S,40.98W
1853-06-01,26.883000000000003,Parnaíba,Brazil,2.41S,40.98W
1853-07-01,27.164,Parnaíba,Brazil,2.41S,40.98W
1853-08-01,27.122,Parnaíba,Brazil,2.41S,40.98W
1853-09-01,27.00500000000001,Parnaíba,Brazil,2.41S,40.98W
1853-10-01,27.181,Parnaíba,Brazil,2.41S,40.98W
1853-11-01,27.415,Parnaíba,Brazil,2.41S,40.98W
1853-12-01,27.712,Parnaíba,Brazil,2.41S,40.98W
1854-01-01,26.517,Parnaíba,Brazil,2.41S,40.98W
1854-02-01,26.176,Parnaíba,Brazil,2.41S,40.98W
1854-03-01,26.697,Parnaíba,Brazil,2.41S,40.98W
1854-04-01,26.77,Parnaíba,Brazil,2.41S,40.98W
1854-05-01,27.076,Parnaíba,Brazil,2.41S,40.98W
1854-06-01,26.607,Parnaíba,Brazil,2.41S,40.98W
1854-07-01,27.168000000000003,Parnaíba,Brazil,2.41S,40.98W
1854-08-01,26.981,Parnaíba,Brazil,2.41S,40.98W
1854-09-01,26.835,Parnaíba,Brazil,2.41S,40.98W
1854-10-01,28.194000000000003,Parnaíba,Brazil,2.41S,40.98W
1854-11-01,27.98,Parnaíba,Brazil,2.41S,40.98W
1854-12-01,27.926,Parnaíba,Brazil,2.41S,40.98W
1855-01-01,28.078000000000003,Parnaíba,Brazil,2.41S,40.98W
1855-02-01,27.333,Parnaíba,Brazil,2.41S,40.98W
1855-03-01,26.814,Parnaíba,Brazil,2.41S,40.98W
1855-04-01,27.668000000000003,Parnaíba,Brazil,2.41S,40.98W
1855-05-01,27.458,Parnaíba,Brazil,2.41S,40.98W
1855-06-01,26.974,Parnaíba,Brazil,2.41S,40.98W
1855-07-01,26.675,Parnaíba,Brazil,2.41S,40.98W
1855-08-01,26.816,Parnaíba,Brazil,2.41S,40.98W
1855-09-01,26.606,Parnaíba,Brazil,2.41S,40.98W
1855-10-01,27.072,Parnaíba,Brazil,2.41S,40.98W
1855-11-01,27.508000000000003,Parnaíba,Brazil,2.41S,40.98W
1855-12-01,26.586,Parnaíba,Brazil,2.41S,40.98W
1856-01-01,27.406,Parnaíba,Brazil,2.41S,40.98W
1856-02-01,26.121,Parnaíba,Brazil,2.41S,40.98W
1856-03-01,26.253,Parnaíba,Brazil,2.41S,40.98W
1856-04-01,26.802,Parnaíba,Brazil,2.41S,40.98W
1856-05-01,26.67,Parnaíba,Brazil,2.41S,40.98W
1856-06-01,27.108,Parnaíba,Brazil,2.41S,40.98W
1856-07-01,,Parnaíba,Brazil,2.41S,40.98W
1856-08-01,26.26,Parnaíba,Brazil,2.41S,40.98W
1856-09-01,26.200000000000006,Parnaíba,Brazil,2.41S,40.98W
1856-10-01,26.531999999999996,Parnaíba,Brazil,2.41S,40.98W
1856-11-01,27.327,Parnaíba,Brazil,2.41S,40.98W
1856-12-01,27.47300000000001,Parnaíba,Brazil,2.41S,40.98W
1857-01-01,,Parnaíba,Brazil,2.41S,40.98W
1857-02-01,,Parnaíba,Brazil,2.41S,40.98W
1857-03-01,,Parnaíba,Brazil,2.41S,40.98W
1857-04-01,,Parnaíba,Brazil,2.41S,40.98W
1857-05-01,,Parnaíba,Brazil,2.41S,40.98W
1857-06-01,,Parnaíba,Brazil,2.41S,40.98W
1857-07-01,,Parnaíba,Brazil,2.41S,40.98W
1857-08-01,,Parnaíba,Brazil,2.41S,40.98W
1857-09-01,,Parnaíba,Brazil,2.41S,40.98W
1857-10-01,,Parnaíba,Brazil,2.41S,40.98W
1857-11-01,,Parnaíba,Brazil,2.41S,40.98W
1857-12-01,,Parnaíba,Brazil,2.41S,40.98W
1858-01-01,,Parnaíba,Brazil,2.41S,40.98W
1858-02-01,,Parnaíba,Brazil,2.41S,40.98W
1858-03-01,,Parnaíba,Brazil,2.41S,40.98W
1858-04-01,,Parnaíba,Brazil,2.41S,40.98W
1858-05-01,,Parnaíba,Brazil,2.41S,40.98W
1858-06-01,,Parnaíba,Brazil,2.41S,40.98W
1858-07-01,,Parnaíba,Brazil,2.41S,40.98W
1858-08-01,,Parnaíba,Brazil,2.41S,40.98W
1858-09-01,,Parnaíba,Brazil,2.41S,40.98W
1858-10-01,,Parnaíba,Brazil,2.41S,40.98W
1858-11-01,,Parnaíba,Brazil,2.41S,40.98W
1858-12-01,,Parnaíba,Brazil,2.41S,40.98W
1859-01-01,,Parnaíba,Brazil,2.41S,40.98W
1859-02-01,,Parnaíba,Brazil,2.41S,40.98W
1859-03-01,,Parnaíba,Brazil,2.41S,40.98W
1859-04-01,,Parnaíba,Brazil,2.41S,40.98W
1859-05-01,,Parnaíba,Brazil,2.41S,40.98W
1859-06-01,,Parnaíba,Brazil,2.41S,40.98W
1859-07-01,,Parnaíba,Brazil,2.41S,40.98W
1859-08-01,,Parnaíba,Brazil,2.41S,40.98W
1859-09-01,,Parnaíba,Brazil,2.41S,40.98W
1859-10-01,,Parnaíba,Brazil,2.41S,40.98W
1859-11-01,,Parnaíba,Brazil,2.41S,40.98W
1859-12-01,,Parnaíba,Brazil,2.41S,40.98W
1860-01-01,,Parnaíba,Brazil,2.41S,40.98W
1860-02-01,,Parnaíba,Brazil,2.41S,40.98W
1860-03-01,,Parnaíba,Brazil,2.41S,40.98W
1860-04-01,,Parnaíba,Brazil,2.41S,40.98W
1860-05-01,,Parnaíba,Brazil,2.41S,40.98W
1860-06-01,,Parnaíba,Brazil,2.41S,40.98W
1860-07-01,,Parnaíba,Brazil,2.41S,40.98W
1860-08-01,,Parnaíba,Brazil,2.41S,40.98W
1860-09-01,,Parnaíba,Brazil,2.41S,40.98W
1860-10-01,,Parnaíba,Brazil,2.41S,40.98W
1860-11-01,,Parnaíba,Brazil,2.41S,40.98W
1860-12-01,,Parnaíba,Brazil,2.41S,40.98W
1861-01-01,,Parnaíba,Brazil,2.41S,40.98W
1861-02-01,,Parnaíba,Brazil,2.41S,40.98W
1861-03-01,,Parnaíba,Brazil,2.41S,40.98W
1861-04-01,,Parnaíba,Brazil,2.41S,40.98W
1861-05-01,,Parnaíba,Brazil,2.41S,40.98W
1861-06-01,,Parnaíba,Brazil,2.41S,40.98W
1861-07-01,,Parnaíba,Brazil,2.41S,40.98W
1861-08-01,,Parnaíba,Brazil,2.41S,40.98W
1861-09-01,,Parnaíba,Brazil,2.41S,40.98W
1861-10-01,,Parnaíba,Brazil,2.41S,40.98W
1861-11-01,,Parnaíba,Brazil,2.41S,40.98W
1861-12-01,,Parnaíba,Brazil,2.41S,40.98W
1862-01-01,,Parnaíba,Brazil,2.41S,40.98W
1862-02-01,,Parnaíba,Brazil,2.41S,40.98W
1862-03-01,,Parnaíba,Brazil,2.41S,40.98W
1862-04-01,,Parnaíba,Brazil,2.41S,40.98W
1862-05-01,,Parnaíba,Brazil,2.41S,40.98W
1862-06-01,,Parnaíba,Brazil,2.41S,40.98W
1862-07-01,,Parnaíba,Brazil,2.41S,40.98W
1862-08-01,,Parnaíba,Brazil,2.41S,40.98W
1862-09-01,,Parnaíba,Brazil,2.41S,40.98W
1862-10-01,,Parnaíba,Brazil,2.41S,40.98W
1862-11-01,,Parnaíba,Brazil,2.41S,40.98W
1862-12-01,,Parnaíba,Brazil,2.41S,40.98W
1863-01-01,,Parnaíba,Brazil,2.41S,40.98W
1863-02-01,,Parnaíba,Brazil,2.41S,40.98W
1863-03-01,,Parnaíba,Brazil,2.41S,40.98W
1863-04-01,,Parnaíba,Brazil,2.41S,40.98W
1863-05-01,,Parnaíba,Brazil,2.41S,40.98W
1863-06-01,,Parnaíba,Brazil,2.41S,40.98W
1863-07-01,,Parnaíba,Brazil,2.41S,40.98W
1863-08-01,,Parnaíba,Brazil,2.41S,40.98W
1863-09-01,,Parnaíba,Brazil,2.41S,40.98W
1863-10-01,,Parnaíba,Brazil,2.41S,40.98W
1863-11-01,,Parnaíba,Brazil,2.41S,40.98W
1863-12-01,,Parnaíba,Brazil,2.41S,40.98W
1864-01-01,,Parnaíba,Brazil,2.41S,40.98W
1864-02-01,,Parnaíba,Brazil,2.41S,40.98W
1864-03-01,,Parnaíba,Brazil,2.41S,40.98W
1864-04-01,,Parnaíba,Brazil,2.41S,40.98W
1864-05-01,,Parnaíba,Brazil,2.41S,40.98W
1864-06-01,,Parnaíba,Brazil,2.41S,40.98W
1864-07-01,,Parnaíba,Brazil,2.41S,40.98W
1864-08-01,,Parnaíba,Brazil,2.41S,40.98W
1864-09-01,,Parnaíba,Brazil,2.41S,40.98W
1864-10-01,,Parnaíba,Brazil,2.41S,40.98W
1864-11-01,,Parnaíba,Brazil,2.41S,40.98W
1864-12-01,,Parnaíba,Brazil,2.41S,40.98W
1865-01-01,,Parnaíba,Brazil,2.41S,40.98W
1865-02-01,,Parnaíba,Brazil,2.41S,40.98W
1865-03-01,,Parnaíba,Brazil,2.41S,40.98W
1865-04-01,,Parnaíba,Brazil,2.41S,40.98W
1865-05-01,,Parnaíba,Brazil,2.41S,40.98W
1865-06-01,,Parnaíba,Brazil,2.41S,40.98W
1865-07-01,,Parnaíba,Brazil,2.41S,40.98W
1865-08-01,,Parnaíba,Brazil,2.41S,40.98W
1865-09-01,,Parnaíba,Brazil,2.41S,40.98W
1865-10-01,,Parnaíba,Brazil,2.41S,40.98W
1865-11-01,,Parnaíba,Brazil,2.41S,40.98W
1865-12-01,,Parnaíba,Brazil,2.41S,40.98W
1866-01-01,,Parnaíba,Brazil,2.41S,40.98W
1866-02-01,,Parnaíba,Brazil,2.41S,40.98W
1866-03-01,,Parnaíba,Brazil,2.41S,40.98W
1866-04-01,,Parnaíba,Brazil,2.41S,40.98W
1866-05-01,,Parnaíba,Brazil,2.41S,40.98W
1866-06-01,,Parnaíba,Brazil,2.41S,40.98W
1866-07-01,,Parnaíba,Brazil,2.41S,40.98W
1866-08-01,,Parnaíba,Brazil,2.41S,40.98W
1866-09-01,,Parnaíba,Brazil,2.41S,40.98W
1866-10-01,,Parnaíba,Brazil,2.41S,40.98W
1866-11-01,,Parnaíba,Brazil,2.41S,40.98W
1866-12-01,,Parnaíba,Brazil,2.41S,40.98W
1867-01-01,,Parnaíba,Brazil,2.41S,40.98W
1867-02-01,,Parnaíba,Brazil,2.41S,40.98W
1867-03-01,,Parnaíba,Brazil,2.41S,40.98W
1867-04-01,,Parnaíba,Brazil,2.41S,40.98W
1867-05-01,,Parnaíba,Brazil,2.41S,40.98W
1867-06-01,,Parnaíba,Brazil,2.41S,40.98W
1867-07-01,,Parnaíba,Brazil,2.41S,40.98W
1867-08-01,,Parnaíba,Brazil,2.41S,40.98W
1867-09-01,,Parnaíba,Brazil,2.41S,40.98W
1867-10-01,,Parnaíba,Brazil,2.41S,40.98W
1867-11-01,,Parnaíba,Brazil,2.41S,40.98W
1867-12-01,,Parnaíba,Brazil,2.41S,40.98W
1868-01-01,,Parnaíba,Brazil,2.41S,40.98W
1868-02-01,,Parnaíba,Brazil,2.41S,40.98W
1868-03-01,,Parnaíba,Brazil,2.41S,40.98W
1868-04-01,,Parnaíba,Brazil,2.41S,40.98W
1868-05-01,,Parnaíba,Brazil,2.41S,40.98W
1868-06-01,,Parnaíba,Brazil,2.41S,40.98W
1868-07-01,,Parnaíba,Brazil,2.41S,40.98W
1868-08-01,,Parnaíba,Brazil,2.41S,40.98W
1868-09-01,,Parnaíba,Brazil,2.41S,40.98W
1868-10-01,,Parnaíba,Brazil,2.41S,40.98W
1868-11-01,,Parnaíba,Brazil,2.41S,40.98W
1868-12-01,,Parnaíba,Brazil,2.41S,40.98W
1869-01-01,,Parnaíba,Brazil,2.41S,40.98W
1869-02-01,,Parnaíba,Brazil,2.41S,40.98W
1869-03-01,,Parnaíba,Brazil,2.41S,40.98W
1869-04-01,,Parnaíba,Brazil,2.41S,40.98W
1869-05-01,,Parnaíba,Brazil,2.41S,40.98W
1869-06-01,,Parnaíba,Brazil,2.41S,40.98W
1869-07-01,,Parnaíba,Brazil,2.41S,40.98W
1869-08-01,,Parnaíba,Brazil,2.41S,40.98W
1869-09-01,,Parnaíba,Brazil,2.41S,40.98W
1869-10-01,,Parnaíba,Brazil,2.41S,40.98W
1869-11-01,,Parnaíba,Brazil,2.41S,40.98W
1869-12-01,,Parnaíba,Brazil,2.41S,40.98W
1870-01-01,,Parnaíba,Brazil,2.41S,40.98W
1870-02-01,,Parnaíba,Brazil,2.41S,40.98W
1870-03-01,,Parnaíba,Brazil,2.41S,40.98W
1870-04-01,,Parnaíba,Brazil,2.41S,40.98W
1870-05-01,,Parnaíba,Brazil,2.41S,40.98W
1870-06-01,,Parnaíba,Brazil,2.41S,40.98W
1870-07-01,,Parnaíba,Brazil,2.41S,40.98W
1870-08-01,,Parnaíba,Brazil,2.41S,40.98W
1870-09-01,,Parnaíba,Brazil,2.41S,40.98W
1870-10-01,,Parnaíba,Brazil,2.41S,40.98W
1870-11-01,,Parnaíba,Brazil,2.41S,40.98W
1870-12-01,,Parnaíba,Brazil,2.41S,40.98W
1871-01-01,,Parnaíba,Brazil,2.41S,40.98W
1871-02-01,,Parnaíba,Brazil,2.41S,40.98W
1871-03-01,,Parnaíba,Brazil,2.41S,40.98W
1871-04-01,,Parnaíba,Brazil,2.41S,40.98W
1871-05-01,,Parnaíba,Brazil,2.41S,40.98W
1871-06-01,,Parnaíba,Brazil,2.41S,40.98W
1871-07-01,,Parnaíba,Brazil,2.41S,40.98W
1871-08-01,,Parnaíba,Brazil,2.41S,40.98W
1871-09-01,,Parnaíba,Brazil,2.41S,40.98W
1871-10-01,,Parnaíba,Brazil,2.41S,40.98W
1871-11-01,,Parnaíba,Brazil,2.41S,40.98W
1871-12-01,,Parnaíba,Brazil,2.41S,40.98W
1872-01-01,,Parnaíba,Brazil,2.41S,40.98W
1872-02-01,,Parnaíba,Brazil,2.41S,40.98W
1872-03-01,,Parnaíba,Brazil,2.41S,40.98W
1872-04-01,,Parnaíba,Brazil,2.41S,40.98W
1872-05-01,,Parnaíba,Brazil,2.41S,40.98W
1872-06-01,,Parnaíba,Brazil,2.41S,40.98W
1872-07-01,,Parnaíba,Brazil,2.41S,40.98W
1872-08-01,,Parnaíba,Brazil,2.41S,40.98W
1872-09-01,,Parnaíba,Brazil,2.41S,40.98W
1872-10-01,,Parnaíba,Brazil,2.41S,40.98W
1872-11-01,,Parnaíba,Brazil,2.41S,40.98W
1872-12-01,,Parnaíba,Brazil,2.41S,40.98W
1873-01-01,,Parnaíba,Brazil,2.41S,40.98W
1873-02-01,,Parnaíba,Brazil,2.41S,40.98W
1873-03-01,,Parnaíba,Brazil,2.41S,40.98W
1873-04-01,,Parnaíba,Brazil,2.41S,40.98W
1873-05-01,,Parnaíba,Brazil,2.41S,40.98W
1873-06-01,,Parnaíba,Brazil,2.41S,40.98W
1873-07-01,,Parnaíba,Brazil,2.41S,40.98W
1873-08-01,,Parnaíba,Brazil,2.41S,40.98W
1873-09-01,,Parnaíba,Brazil,2.41S,40.98W
1873-10-01,,Parnaíba,Brazil,2.41S,40.98W
1873-11-01,,Parnaíba,Brazil,2.41S,40.98W
1873-12-01,,Parnaíba,Brazil,2.41S,40.98W
1874-01-01,,Parnaíba,Brazil,2.41S,40.98W
1874-02-01,,Parnaíba,Brazil,2.41S,40.98W
1874-03-01,,Parnaíba,Brazil,2.41S,40.98W
1874-04-01,,Parnaíba,Brazil,2.41S,40.98W
1874-05-01,,Parnaíba,Brazil,2.41S,40.98W
1874-06-01,,Parnaíba,Brazil,2.41S,40.98W
1874-07-01,,Parnaíba,Brazil,2.41S,40.98W
1874-08-01,,Parnaíba,Brazil,2.41S,40.98W
1874-09-01,,Parnaíba,Brazil,2.41S,40.98W
1874-10-01,,Parnaíba,Brazil,2.41S,40.98W
1874-11-01,,Parnaíba,Brazil,2.41S,40.98W
1874-12-01,,Parnaíba,Brazil,2.41S,40.98W
1875-01-01,,Parnaíba,Brazil,2.41S,40.98W
1875-02-01,,Parnaíba,Brazil,2.41S,40.98W
1875-03-01,,Parnaíba,Brazil,2.41S,40.98W
1875-04-01,,Parnaíba,Brazil,2.41S,40.98W
1875-05-01,,Parnaíba,Brazil,2.41S,40.98W
1875-06-01,,Parnaíba,Brazil,2.41S,40.98W
1875-07-01,,Parnaíba,Brazil,2.41S,40.98W
1875-08-01,,Parnaíba,Brazil,2.41S,40.98W
1875-09-01,,Parnaíba,Brazil,2.41S,40.98W
1875-10-01,,Parnaíba,Brazil,2.41S,40.98W
1875-11-01,,Parnaíba,Brazil,2.41S,40.98W
1875-12-01,,Parnaíba,Brazil,2.41S,40.98W
1876-01-01,,Parnaíba,Brazil,2.41S,40.98W
1876-02-01,,Parnaíba,Brazil,2.41S,40.98W
1876-03-01,,Parnaíba,Brazil,2.41S,40.98W
1876-04-01,,Parnaíba,Brazil,2.41S,40.98W
1876-05-01,,Parnaíba,Brazil,2.41S,40.98W
1876-06-01,,Parnaíba,Brazil,2.41S,40.98W
1876-07-01,,Parnaíba,Brazil,2.41S,40.98W
1876-08-01,,Parnaíba,Brazil,2.41S,40.98W
1876-09-01,,Parnaíba,Brazil,2.41S,40.98W
1876-10-01,,Parnaíba,Brazil,2.41S,40.98W
1876-11-01,,Parnaíba,Brazil,2.41S,40.98W
1876-12-01,,Parnaíba,Brazil,2.41S,40.98W
1877-01-01,,Parnaíba,Brazil,2.41S,40.98W
1877-02-01,,Parnaíba,Brazil,2.41S,40.98W
1877-03-01,,Parnaíba,Brazil,2.41S,40.98W
1877-04-01,,Parnaíba,Brazil,2.41S,40.98W
1877-05-01,,Parnaíba,Brazil,2.41S,40.98W
1877-06-01,,Parnaíba,Brazil,2.41S,40.98W
1877-07-01,,Parnaíba,Brazil,2.41S,40.98W
1877-08-01,,Parnaíba,Brazil,2.41S,40.98W
1877-09-01,,Parnaíba,Brazil,2.41S,40.98W
1877-10-01,,Parnaíba,Brazil,2.41S,40.98W
1877-11-01,,Parnaíba,Brazil,2.41S,40.98W
1877-12-01,,Parnaíba,Brazil,2.41S,40.98W
1878-01-01,,Parnaíba,Brazil,2.41S,40.98W
1878-02-01,,Parnaíba,Brazil,2.41S,40.98W
1878-03-01,,Parnaíba,Brazil,2.41S,40.98W
1878-04-01,,Parnaíba,Brazil,2.41S,40.98W
1878-05-01,,Parnaíba,Brazil,2.41S,40.98W
1878-06-01,,Parnaíba,Brazil,2.41S,40.98W
1878-07-01,,Parnaíba,Brazil,2.41S,40.98W
1878-08-01,,Parnaíba,Brazil,2.41S,40.98W
1878-09-01,,Parnaíba,Brazil,2.41S,40.98W
1878-10-01,,Parnaíba,Brazil,2.41S,40.98W
1878-11-01,,Parnaíba,Brazil,2.41S,40.98W
1878-12-01,,Parnaíba,Brazil,2.41S,40.98W
1879-01-01,,Parnaíba,Brazil,2.41S,40.98W
1879-02-01,,Parnaíba,Brazil,2.41S,40.98W
1879-03-01,,Parnaíba,Brazil,2.41S,40.98W
1879-04-01,,Parnaíba,Brazil,2.41S,40.98W
1879-05-01,,Parnaíba,Brazil,2.41S,40.98W
1879-06-01,,Parnaíba,Brazil,2.41S,40.98W
1879-07-01,,Parnaíba,Brazil,2.41S,40.98W
1879-08-01,,Parnaíba,Brazil,2.41S,40.98W
1879-09-01,,Parnaíba,Brazil,2.41S,40.98W
1879-10-01,,Parnaíba,Brazil,2.41S,40.98W
1879-11-01,,Parnaíba,Brazil,2.41S,40.98W
1879-12-01,,Parnaíba,Brazil,2.41S,40.98W
1880-01-01,,Parnaíba,Brazil,2.41S,40.98W
1880-02-01,,Parnaíba,Brazil,2.41S,40.98W
1880-03-01,,Parnaíba,Brazil,2.41S,40.98W
1880-04-01,,Parnaíba,Brazil,2.41S,40.98W
1880-05-01,,Parnaíba,Brazil,2.41S,40.98W
1880-06-01,,Parnaíba,Brazil,2.41S,40.98W
1880-07-01,,Parnaíba,Brazil,2.41S,40.98W
1880-08-01,,Parnaíba,Brazil,2.41S,40.98W
1880-09-01,,Parnaíba,Brazil,2.41S,40.98W
1880-10-01,,Parnaíba,Brazil,2.41S,40.98W
1880-11-01,,Parnaíba,Brazil,2.41S,40.98W
1880-12-01,,Parnaíba,Brazil,2.41S,40.98W
1881-01-01,,Parnaíba,Brazil,2.41S,40.98W
1881-02-01,,Parnaíba,Brazil,2.41S,40.98W
1881-03-01,,Parnaíba,Brazil,2.41S,40.98W
1881-04-01,,Parnaíba,Brazil,2.41S,40.98W
1881-05-01,,Parnaíba,Brazil,2.41S,40.98W
1881-06-01,,Parnaíba,Brazil,2.41S,40.98W
1881-07-01,,Parnaíba,Brazil,2.41S,40.98W
1881-08-01,,Parnaíba,Brazil,2.41S,40.98W
1881-09-01,,Parnaíba,Brazil,2.41S,40.98W
1881-10-01,,Parnaíba,Brazil,2.41S,40.98W
1881-11-01,,Parnaíba,Brazil,2.41S,40.98W
1881-12-01,,Parnaíba,Brazil,2.41S,40.98W
1882-01-01,,Parnaíba,Brazil,2.41S,40.98W
1882-02-01,,Parnaíba,Brazil,2.41S,40.98W
1882-03-01,,Parnaíba,Brazil,2.41S,40.98W
